cest_timestamp,w1,mu1,std1,w2,mu2,std2
2017-04-28 06:00:00,0.886189027719885,-0.06261484804971484,0.18309510102738938,0.11381097228011505,0.48755045495468496,0.3182255533376565
2017-04-28 07:00:00,0.8837514440513053,-0.08309231152389551,0.22964796110614477,0.11624855594869457,0.6316891397017668,0.2998293448120482
2017-04-28 08:00:00,0.7892485248159213,-0.172979060316311,0.3891538865923318,0.21075147518407872,0.6477936539207978,0.6375220607543298
2017-04-28 09:00:00,0.5331346932411117,-0.5104267241753861,0.664864346945364,0.4668653067588883,0.5828794538289586,0.8778132061801937
2017-04-28 10:00:00,0.5275172911921163,-0.9992420429872924,0.7779143983028621,0.4724827088078836,1.115633325697563,0.9187899652712983
2017-04-28 11:00:00,0.5393163571050039,-1.3134690174837869,0.9914937582941232,0.4606836428949961,1.5376611186542717,1.1057364240724143
2017-04-28 12:00:00,0.5819606169501906,-1.35377799855409,1.2439221175981505,0.4180393830498093,1.8846202324393464,1.2427468776997788
2017-04-28 13:00:00,0.5725756707881352,-1.4279046342488608,1.2710430933170354,0.4274243292118648,1.9128144981454023,1.3973176392164084
2017-04-28 14:00:00,0.5466520908041015,-1.646559785559885,1.3670238405234458,0.45334790919589857,1.9854406100752948,1.510680034987275
2017-04-28 15:00:00,0.4337724335323582,-2.250597971045299,1.2628112285621822,0.5662275664676417,1.7241254517040483,1.4703706834678258
2017-04-28 16:00:00,0.46322619449259494,-1.9910077672432056,1.261793816733655,0.5367738055074052,1.7182040959570353,1.1369247672223488
2017-04-28 17:00:00,0.4644915314641232,-1.6809317469062017,1.0823502213274998,0.5355084685358767,1.4580134718351645,0.8933655869280724
2017-04-28 18:00:00,0.4498836285339635,-1.2206301309410015,0.7659236594367657,0.5501163714660363,0.998227903929102,0.5857712173777573
2017-04-28 19:00:00,0.40570006592774893,-0.7584942023304981,0.46836136813164714,0.594299934072251,0.5177876190945156,0.4472583302679466
2017-04-28 20:00:00,0.30006328816248556,-0.4715854963234246,0.34622517998434654,0.6999367118375144,0.20216898511446302,0.33171710487443645
2017-04-28 21:00:00,0.4828615502640398,-0.0005526386161902597,0.13773048732745427,0.5171384497359602,0.0005160086995767976,0.4600909416303938
2017-04-28 22:00:00,0.9306021660974507,-0.057977854185345845,0.22216645573930263,0.06939783390254926,0.7774639878001013,0.19575593768642532
2017-04-28 23:00:00,0.9253711458370704,-0.05485993323060667,0.221658321515669,0.0746288541629297,0.6802435846505118,0.07790762322228742
2017-04-29 00:00:00,0.037832898774772215,-0.5715136569486969,0.08629736754596151,0.9621671012252277,0.022472207066949523,0.24069707334980114
2017-04-29 01:00:00,0.7263546139366955,-0.07887006487683101,0.1948571218737357,0.2736453860633045,0.20934990481264637,0.2631541212257415
2017-04-29 02:00:00,0.5773925392059008,-0.11120716690653709,0.19751128359360137,0.42260746079409917,0.15193813274712653,0.29417412444402713
2017-04-29 03:00:00,0.882514251172715,-0.0773969641355321,0.20558239388214944,0.117485748827285,0.5813805038390122,0.26927890805182325
2017-04-29 04:00:00,0.5022262379788568,0.0026578679166083807,0.07047015267747257,0.49777376202114326,-0.0026816419559420046,0.373902044762008
2017-04-29 05:00:00,0.674618080247979,-0.02273915261116255,0.14240635788617276,0.325381919752021,0.0471453468978833,0.4892944206276461
2017-04-29 06:00:00,0.8302635614119589,-0.07414043468305875,0.18231323124646712,0.16973643858804113,0.3626569630931571,0.3132747597506415
2017-04-29 07:00:00,0.870614307460554,-0.09292718979110992,0.2319187115167799,0.12938569253944596,0.6252912466312873,0.3663520956130132
2017-04-29 08:00:00,0.8806898984183763,-0.16160115372850128,0.35188526390273633,0.11931010158162371,1.1928621447370102,0.5202977824608771
2017-04-29 09:00:00,0.657135937908806,-0.4085744418124605,0.6126578849673286,0.342864062091194,0.783076964638499,0.9258660152921159
2017-04-29 10:00:00,0.5626928683487232,-0.884375200120604,0.8295986348715502,0.4373071316512768,1.137945352442061,1.0872019789203258
2017-04-29 11:00:00,0.5308345960335299,-1.3784411625345898,1.0378080495912725,0.46916540396647016,1.5596296135303547,1.2721650605035766
2017-04-29 12:00:00,0.5432584769763226,-1.5717446768411056,1.2824180752748975,0.4567415230236774,1.8694679075457676,1.3983188263571709
2017-04-29 13:00:00,0.559017460501808,-1.592615045775974,1.3792484257727944,0.4409825394981921,2.0188999307313984,1.506938468071908
2017-04-29 14:00:00,0.49189934012396336,-1.9832812061099467,1.4189959479699046,0.5081006598760366,1.9200422152645022,1.617977189220181
2017-04-29 15:00:00,0.44128362295997126,-2.370387114375232,1.4372795342666125,0.5587163770400289,1.8721717433641536,1.5125526998017058
2017-04-29 16:00:00,0.44974946726537074,-2.210226438143559,1.430482942702205,0.5502505327346294,1.8065373933409816,1.4434180080102956
2017-04-29 17:00:00,0.45482780629277225,-1.7001744204811922,1.2899358411087558,0.5451721937072278,1.4184263447556205,1.2298665783062612
2017-04-29 18:00:00,0.42344331748492015,-1.0905029013742689,1.016746194167751,0.5765566825150799,0.8009033288288592,0.9972481681183765
2017-04-29 19:00:00,0.388164623455427,-0.5225494823036461,0.8028238072983164,0.6118353765445731,0.33151927922305463,0.9282124700079224
2017-04-29 20:00:00,0.4717234736422409,-0.022151183978390332,0.25538999325905554,0.5282765263577591,0.019779855682056535,0.8473221831666486
2017-04-29 21:00:00,0.8349076744292676,-0.14124362884453667,0.292920032177187,0.1650923255707324,0.7142996458428263,0.50768251861802
2017-04-29 22:00:00,0.8640757990531087,-0.09974184344716619,0.1889864043229978,0.13592420094689117,0.6340630474577119,0.39015819305382315
